intent,sex,place,education,race
Suicide,M,Home,4,Asian
Suicide,F,Street,3,White
Suicide,M,Other,4,White
Suicide,M,Home,4,White
Suicide,M,Other,2,White
Suicide,M,Home,1,Native American
Undetermined,M,Home,2,White
Suicide,M,Home,2,Native American
Accidental,M,Other,3,White
Suicide,M,Home,5,Black
Suicide,M,Home,3,White
Suicide,M,Home,2,Native American
Suicide,M,Home,1,White
Suicide,M,Home,2,Native American
Homicide,M,Home,2,White
Suicide,M,Home,2,Native American
Suicide,M,Home,4,White
Suicide,M,Home,2,Native American
Homicide,M,Home,3,Asian
Suicide,M,Home,2,White
Suicide,M,Home,2,Native American
Suicide,F,Home,2,White
Homicide,F,Home,2,Black
Suicide,M,Home,3,White
Homicide,M,Other,2,White
Homicide,M,Other,2,White
Suicide,M,Other,2,Native American
Suicide,M,Other,2,White
Suicide,M,Home,2,White
Homicide,M,Other,2,White
Suicide,M,Home,2,Native American
Suicide,M,Home,4,White
Suicide,M,Home,5,Native American
Suicide,M,Home,2,White
Homicide,F,Home,2,White
Undetermined,M,Home,2,White
Suicide,M,Home,1,Native American
Suicide,M,Home,5,Native American
Suicide,M,Home,3,White
Suicide,M,Home,3,White
Suicide,M,Home,2,Native American
Homicide,M,Home,5,Asian
Suicide,M,Home,1,White
Suicide,M,Home,2,Native American
Suicide,M,Home,1,Native American
Suicide,M,Home,3,White
Suicide,M,Home,4,White
Homicide,M,Home,2,White
Homicide,M,Home,1,Native American
Homicide,M,Other,3,Asian
Suicide,M,Home,2,White
Suicide,M,Home,3,White
Suicide,M,Street,1,Native American
Undetermined,F,Home,1,Native American
Suicide,M,Home,2,White
Suicide,M,Other,4,White
Accidental,M,Home,1,Black
Homicide,M,Home,3,White
Suicide,M,Home,2,White
Homicide,M,Home,2,Black
Suicide,M,Home,2,White
Homicide,M,Other,2,White
Suicide,M,Home,3,White
Suicide,F,Home,2,White
Suicide,M,Home,2,White
Suicide,M,Other,2,White
Suicide,F,Home,3,Native American
Suicide,M,Other,4,White
Suicide,M,Other,4,White
Suicide,M,Other,1,Native American
Suicide,F,Home,4,White
Accidental,M,Home,3,White
Suicide,F,Home,3,White
Accidental,M,Home,2,White
Suicide,M,Other,2,White
Undetermined,M,Home,3,Native American
Suicide,M,Home,2,White
Suicide,M,Home,2,Asian
Suicide,M,Home,2,White
Homicide,F,Other,2,White
Suicide,F,Home,4,Native American
Suicide,M,Home,2,White
Suicide,F,Other,5,White
Homicide,M,Other,2,White
Suicide,M,Other,2,White
Homicide,M,Other,1,Native American
Suicide,M,Home,4,White
Suicide,M,Other,2,White
Suicide,M,Other,2,Black
Suicide,M,Other,1,Native American
Undetermined,F,Other,4,White
Suicide,M,Home,1,White
Homicide,M,Other,1,Native American
Accidental,F,Other,2,Hispanic
Suicide,M,Other,2,White
Suicide,M,Home,2,White
Suicide,M,Home,1,White
Homicide,M,Other,2,White
Suicide,M,Other,3,White
Undetermined,M,Home,1,White
Suicide,M,Home,1,Native American
Suicide,M,Home,3,White
Suicide,M,Home,3,Hispanic
Homicide,M,Home,3,White
Suicide,F,Home,1,White
Suicide,M,Other,3,Black
Suicide,M,Other,2,White
Suicide,M,Home,2,White
Suicide,F,Home,3,Native American
Suicide,M,Home,2,Native American
Suicide,M,Other,2,White
Suicide,M,Other,2,White
Suicide,M,Home,2,White
Suicide,M,Home,1,White
Suicide,F,Home,1,Native American
Suicide,M,Home,3,Black
Suicide,M,Home,5,White
Suicide,M,Home,1,Native American
Suicide,M,Other,3,Asian
Suicide,M,Other,2,White
Suicide,M,Home,1,White
Suicide,M,Other,4,White
Suicide,M,Other,2,White
Suicide,M,Home,1,Black
Suicide,F,Home,4,White
Homicide,M,Home,3,White
Undetermined,M,Home,3,White
Suicide,M,Other,2,White
Suicide,M,Home,2,Native American
Suicide,M,Home,3,White
Accidental,F,Other,3,White
Suicide,M,Home,2,White
Suicide,M,Home,2,White
Undetermined,F,Home,3,White
Suicide,F,Home,2,White
Suicide,F,Other,4,White
Homicide,M,Home,1,Black
Suicide,M,Home,4,White
Suicide,M,Other,1,White
Accidental,M,Home,2,White
Homicide,M,Other,2,White
Suicide,M,Home,2,White
Suicide,M,Other,2,White
Suicide,M,Home,3,White
Suicide,M,Home,4,White
Homicide,M,Other,1,Black
Suicide,M,Other,2,White
Undetermined,M,Home,2,White
Suicide,M,Other,4,White
Suicide,M,Other,1,White
Suicide,M,Other,2,White
Homicide,M,Other,2,White
Suicide,M,Home,4,White
Suicide,M,Other,3,Black
Suicide,M,Home,2,Black
Suicide,F,Other,2,White
Homicide,M,Home,3,Black
Homicide,M,Home,1,Hispanic
Suicide,M,Other,2,White
Homicide,F,Home,1,White
Suicide,M,Other,4,White
Homicide,M,Street,1,Black
Homicide,M,Home,1,White
Homicide,M,Home,1,White
Homicide,M,Home,3,Black
Suicide,M,Other,4,Black
Homicide,F,Other,4,Black
Suicide,M,Other,3,Black
Undetermined,M,Home,2,White
Homicide,M,Home,4,White
Suicide,M,Home,2,Black
Suicide,M,Home,2,White
Homicide,M,Farm,1,White
Suicide,M,Other,2,White
Suicide,F,Home,3,White
Homicide,M,Street,1,Black
Homicide,F,Other,4,White
Suicide,M,Other,2,White
Suicide,M,Home,3,White
Homicide,M,Other,1,Black
Suicide,M,Other,3,White
Suicide,M,Home,2,Black
Homicide,M,Other,1,Black
Suicide,M,Other,1,White
Homicide,M,Home,2,Black
Homicide,M,Home,2,Black
Suicide,M,Other,3,White
Homicide,M,Other,1,Black
Homicide,M,Home,2,Black
Homicide,M,Home,1,Black
Homicide,M,Home,2,Black
Homicide,M,Home,1,Hispanic
Homicide,M,Other,3,White
Suicide,M,Home,2,White
Homicide,M,Home,2,Black
Suicide,M,Other,3,White
Homicide,M,Farm,2,White
Homicide,M,Home,2,Black
Homicide,M,Home,2,Black
